source;target;effectivity
NORMAL;NORMAL;1
NORMAL;FIRE;1
NORMAL;WATER;1
NORMAL;GRASS;1
NORMAL;ELECTRIC;1
NORMAL;POISON;1
FIRE;NORMAL;1
FIRE;FIRE;0.5
FIRE;WATER;0.5
FIRE;GRASS;2
FIRE;ELECTRIC;1
FIRE;POISON;1
WATER;NORMAL;1
WATER;FIRE;2
WATER;WATER;0.5
WATER;GRASS;0.5
WATER;ELECTRIC;1
WATER;POISON;1
GRASS;NORMAL;1
GRASS;FIRE;0.5
GRASS;WATER;2
GRASS;GRASS;0.5
GRASS;ELECTRIC;1
GRASS;POISON;0.5
ELECTRIC;NORMAL;1
ELECTRIC;FIRE;1
ELECTRIC;WATER;2
ELECTRIC;GRASS;0.5
ELECTRIC;ELECTRIC;0.5
ELECTRIC;POISON;1
POISON;NORMAL;1
POISON;FIRE;1
POISON;WATER;1
POISON;GRASS;2
POISON;ELECTRIC;1
POISON;POISON;0.5
